Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
vox_abcd_apothicons_1_0,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_1_0.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_1_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_1_1,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_1_1.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_1_1,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_1_2,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_1_2.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_1_2,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_0,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_0.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_1,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_1.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_1,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_2,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_2.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_2,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_3,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_3.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_3,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_4,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_4.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_4,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_5,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_5.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_5,no,mature,explicit,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_abcd_apothicons_2_5,,streamed,en\vox\scripted\genesis\vox_gene_abcd_apothicons_2_5_s.wav,,,,,,,,BUS_VOICE,grp_voice,snp_claw,zmb_dialog_monty,47,100,86,86,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,GENESIS_VOX_VOX_ABCD_APOTHICONS_2_5_S,no,mature,safe,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
